ParticipantId,Formatted_time,Batterylevel
4264.0,2020-12-10 15:37:00,63
4264.0,2020-12-10 15:37:15,63
4264.0,2020-12-10 15:37:30,63
4264.0,2020-12-10 15:37:46,63
4264.0,2020-12-10 15:38:01,63
4264.0,2020-12-10 15:38:16,63
4264.0,2020-12-10 15:38:32,63
4264.0,2020-12-10 15:38:47,63
4264.0,2020-12-10 15:39:02,63
4264.0,2020-12-10 15:39:19,63
4264.0,2020-12-10 15:39:34,63
4264.0,2020-12-10 15:39:49,63
4264.0,2020-12-10 15:40:05,63
4264.0,2020-12-10 15:40:20,63
4264.0,2020-12-10 15:40:35,63
4264.0,2020-12-10 18:22:19,49
4264.0,2020-12-10 18:22:34,48
4264.0,2020-12-10 18:22:49,48
4264.0,2020-12-10 18:23:05,48
4264.0,2020-12-10 18:23:20,48
4264.0,2020-12-10 18:23:35,48
4264.0,2020-12-10 18:23:52,48
4264.0,2020-12-10 15:05:33,66
4264.0,2020-12-10 15:05:50,66
4264.0,2020-12-10 15:06:07,66
4264.0,2020-12-10 15:06:22,66
4264.0,2020-12-09 22:11:48,32
4264.0,2020-12-09 22:12:05,32
4264.0,2020-12-09 22:12:20,32
4264.0,2020-12-09 22:12:35,32
4264.0,2020-12-09 22:12:50,32
4264.0,2020-12-09 22:13:05,32
4264.0,2020-12-09 22:13:20,32
4264.0,2020-12-09 22:13:38,32
4264.0,2020-12-10 18:52:51,46
4264.0,2020-12-10 18:53:06,45
4264.0,2020-12-10 18:53:21,45
4264.0,2020-12-10 18:53:38,45
1628.0,2020-12-12 08:01:07,100
1628.0,2020-12-11 19:42:48,60.000003814697266
1628.0,2020-12-11 17:55:51,69
4264.0,2020-12-10 03:43:40,37
4264.0,2020-12-10 03:43:55,37
4264.0,2020-12-10 03:44:10,37
4264.0,2020-12-10 03:44:25,37
4264.0,2020-12-10 03:44:40,37
4264.0,2020-12-10 03:44:55,37
4264.0,2020-12-10 03:45:10,37
4264.0,2020-12-10 03:45:26,37
4264.0,2020-12-10 03:45:41,37
4264.0,2020-12-10 03:45:57,37
4264.0,2020-12-10 03:46:12,37
4264.0,2020-12-10 03:46:27,37
4264.0,2020-12-10 03:46:42,37
4264.0,2020-12-10 03:46:59,37
4264.0,2020-12-10 03:47:14,37
4264.0,2020-12-10 03:47:29,37
4264.0,2020-12-10 03:47:45,37
4264.0,2020-12-10 03:48:00,37
4264.0,2020-12-10 03:48:15,37
4264.0,2020-12-10 03:48:32,37
2704.0,2020-12-11 10:07:37,99
1628.0,2020-12-12 16:52:35,100
1628.0,2020-12-12 16:52:36,100
4264.0,2020-12-10 03:37:59,37
4264.0,2020-12-10 03:38:14,37
4264.0,2020-12-10 03:38:29,37
4264.0,2020-12-10 16:36:28,59
4264.0,2020-12-10 16:36:43,59
4264.0,2020-12-10 16:36:58,59
4264.0,2020-12-10 16:37:13,59
4264.0,2020-12-10 16:37:29,59
4264.0,2020-12-10 16:37:44,59
4264.0,2020-12-10 16:37:59,59
4264.0,2020-12-10 16:38:14,59
4264.0,2020-12-10 16:38:29,59
4264.0,2020-12-10 16:38:49,59
4264.0,2020-12-10 03:38:44,37
4264.0,2020-12-10 03:38:59,37
4264.0,2020-12-10 03:39:16,37
4264.0,2020-12-10 03:39:31,37
4264.0,2020-12-10 03:39:46,37
4264.0,2020-12-10 03:40:01,37
4264.0,2020-12-10 03:40:16,37
4264.0,2020-12-10 03:40:31,37
4264.0,2020-12-10 03:40:48,37
4264.0,2020-12-10 03:41:04,37
4264.0,2020-12-10 03:41:19,37
4264.0,2020-12-10 03:41:34,37
4264.0,2020-12-10 03:41:49,37
4264.0,2020-12-10 03:42:04,37
4264.0,2020-12-10 03:42:21,37
4264.0,2020-12-10 03:42:36,37
4264.0,2020-12-10 03:42:51,37
4264.0,2020-12-10 03:43:07,37
4264.0,2020-12-10 03:43:22,37
1628.0,2020-12-12 07:36:12,100
1628.0,2020-12-12 07:36:27,100
1628.0,2020-12-12 07:41:09,100
2704.0,2020-12-12 00:20:55,54.000003814697266
1628.0,2020-12-11 21:56:22,45
1628.0,2020-12-11 20:28:55,57
1628.0,2020-12-11 20:29:10,57
1628.0,2020-12-11 20:34:21,57
1628.0,2020-12-11 20:34:25,56
4264.0,2020-12-10 12:03:43,20
4264.0,2020-12-10 12:03:58,20
4264.0,2020-12-10 12:04:13,20
4264.0,2020-12-10 12:04:28,20
4264.0,2020-12-10 12:04:46,20
4264.0,2020-12-10 12:05:01,20
4264.0,2020-12-10 12:05:16,20
4264.0,2020-12-10 12:05:32,20
4264.0,2020-12-10 12:05:47,20
4264.0,2020-12-10 12:06:02,20
4264.0,2020-12-10 12:06:17,20
4264.0,2020-12-10 12:06:32,19
4264.0,2020-12-10 12:06:48,19
4264.0,2020-12-10 12:07:08,19
4264.0,2020-12-10 12:07:23,19
4264.0,2020-12-10 12:07:38,19
4264.0,2020-12-10 12:07:53,19
4264.0,2020-12-10 12:08:10,19
4264.0,2020-12-10 12:08:25,19
4264.0,2020-12-10 12:08:45,19
4264.0,2020-12-10 12:09:01,19
4264.0,2020-12-10 12:09:16,19
4264.0,2020-12-10 12:09:31,19
4264.0,2020-12-10 12:09:46,19
4264.0,2020-12-10 12:10:04,18
4264.0,2020-12-10 12:10:19,18
4264.0,2020-12-10 12:10:34,18
4264.0,2020-12-10 12:10:49,18
4264.0,2020-12-10 12:11:04,18
4264.0,2020-12-10 12:11:19,18
4264.0,2020-12-10 12:11:37,18
4264.0,2020-12-10 12:11:52,18
4264.0,2020-12-10 12:12:07,18
4264.0,2020-12-10 12:12:22,18
4264.0,2020-12-10 12:12:37,18
4264.0,2020-12-10 12:12:53,18
4264.0,2020-12-10 12:13:08,18
4264.0,2020-12-10 12:13:23,18
4264.0,2020-12-10 12:13:38,17
4264.0,2020-12-10 12:13:54,17
4264.0,2020-12-10 12:14:09,17
4264.0,2020-12-10 12:14:24,17
4264.0,2020-12-10 12:14:41,17
4264.0,2020-12-10 12:14:56,17
4264.0,2020-12-10 12:15:11,17
4264.0,2020-12-10 12:15:27,17
4264.0,2020-12-10 12:15:42,17
4264.0,2020-12-10 12:15:57,17
4264.0,2020-12-10 12:16:14,17
4264.0,2020-12-10 12:16:29,17
4264.0,2020-12-10 12:16:44,17
4264.0,2020-12-10 12:17:00,17
4264.0,2020-12-10 12:17:15,17
4264.0,2020-12-10 12:17:30,16
4264.0,2020-12-10 12:17:47,16
4264.0,2020-12-10 12:18:02,16
4264.0,2020-12-10 12:18:17,16
4264.0,2020-12-10 12:18:32,16
4264.0,2020-12-10 12:18:48,16
4264.0,2020-12-10 12:19:04,16
4264.0,2020-12-10 12:19:19,16
4264.0,2020-12-10 12:19:34,16
4264.0,2020-12-10 12:19:49,16
4264.0,2020-12-10 12:20:04,17
4264.0,2020-12-10 12:20:19,17
4264.0,2020-12-10 12:20:34,17
4264.0,2020-12-10 12:20:51,18
