Row_id,Type,Id,DeviceId,Timestamp,ProtocolId,BuildId,ParticipantId,DeviceManufacturer,DeviceModel,OperatingSystem,TaggedEventId,TaggedEventTags,SensingAgentStateDescription,LocalOffsetFromUTC,Decibels,BatteryLevel,AccessPointBSSID,Activity,Phase,State,Confidence,Latitude,Longitude,LocationAccuracy,ProtocolName,Formatted_time
9965,"Sensus.Probes.Context.SoundDatum, SensusAndroid",8ab2f6e6-a4cf-43b5-b73f-a5ccf7a97fac,b6c7054108615ca5,2020-12-10 08:31:59.032954+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,65.88932452323186,,,,,,,,,,,2020-12-10 03:31:59
9966,"Sensus.Probes.Location.LocationDatum, SensusAndroid",29802680-d9e0-4116-8c21-92f85344f9ca,b6c7054108615ca5,2020-12-10 08:32:01.030903+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,,,,,,,35.3069576,-80.7236213,11.53600025177002,,2020-12-10 03:32:01
9967,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",00dc5e6d-7b5e-4ba9-b7fb-416a36c75524,b6c7054108615ca5,2020-12-10 08:32:04.012375+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,38.0,,,,,,,,,,2020-12-10 03:32:04
9968,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",29557562-ed8a-43d1-91af-d07e8fcf5998,b6c7054108615ca5,2020-12-10 08:32:19.255157+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,38.0,,,,,,,,,,2020-12-10 03:32:19
9969,"Sensus.Probes.Context.SoundDatum, SensusAndroid",308def3d-396c-40e4-a8fa-8ba5f638c57b,b6c7054108615ca5,2020-12-10 08:32:19.374110+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,68.58535332866337,,,,,,,,,,,2020-12-10 03:32:19
9970,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",151e2871-68ab-4fff-9413-b7e71594e20f,b6c7054108615ca5,2020-12-10 08:32:34.354703+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,38.0,,,,,,,,,,2020-12-10 03:32:34
9971,"Sensus.Probes.Context.SoundDatum, SensusAndroid",5a268564-0c9f-44e8-aae5-3523db14f52d,b6c7054108615ca5,2020-12-10 08:32:44.486275+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,68.06927402690634,,,,,,,,,,,2020-12-10 03:32:44
9972,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",7b446f48-dc80-45db-a1fd-20f7ce4f50dd,b6c7054108615ca5,2020-12-10 08:32:49.429275+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,38.0,,,,,,,,,,2020-12-10 03:32:49
9973,"Sensus.Probes.Location.LocationDatum, SensusAndroid",f41c36fb-2716-461f-ae99-43b192b11388,b6c7054108615ca5,2020-12-10 08:32:58.064071+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,,,,,,,35.3069564,-80.7236179,11.581999778747559,,2020-12-10 03:32:58
9974,"Sensus.Probes.Device.BatteryDatum, SensusAndroid",26c69c19-d72c-403c-aeee-d3169c966271,b6c7054108615ca5,2020-12-10 08:33:05.832350+00:00,4fde13e6-f31a-45a9-9404-bfb02f5683c8,15.18.0,4264.0,OnePlus,OnePlus7,Android 29,,,,-05:00:00,,38.0,,,,,,,,,,2020-12-10 03:33:05
